run,window,phase,seq,query,op_type,exec_ms,ok,err,planning_ms,exec_ms_pg,rows_returned,shared_blks_hit,shared_blks_read,temp_blks_written
3,0,Reporting,0,Q1,SELECT,1034.891,True,,0.262,545.808,4,22510,1046,0
3,0,Reporting,1,Q14,SELECT,23.7342,True,,0.192,12.476,1,9228,1,0
3,0,Reporting,2,Q14,SELECT,19.9407,True,,0.035,10.228,1,9229,0,0
3,0,Reporting,3,Q12,SELECT,94.2771,True,,0.185,46.879,2,47564,0,0
3,0,Reporting,4,Q1,SELECT,1013.5425,True,,0.06,512.754,4,23553,0,0
3,0,Reporting,5,Q6,SELECT,61.6048,True,,0.041,30.835,1,21114,1,0
3,0,Reporting,6,Q14,SELECT,22.7557,True,,0.061,12.308,1,9229,0,0
3,0,Reporting,7,Q14,SELECT,19.651,True,,0.039,10.055,1,9229,0,0
3,0,Reporting,8,Q14,SELECT,19.8966,True,,0.04,9.978,1,9229,0,0
3,0,Reporting,9,Q14,SELECT,20.2289,True,,0.045,10.601,1,9229,0,0
3,0,Reporting,10,Q14,SELECT,19.0175,True,,0.026,9.807,1,9229,0,0
3,0,Reporting,11,Q14,SELECT,19.6272,True,,0.045,10.077,1,9229,0,0
3,0,Reporting,12,Q14,SELECT,19.4008,True,,0.046,9.825,1,9229,0,0
3,0,Reporting,13,Q14,SELECT,20.7336,True,,0.038,10.73,1,9229,0,0
3,0,Reporting,14,Q6,SELECT,61.779,True,,0.022,30.977,1,21115,0,0
3,0,Reporting,15,Q14,SELECT,22.1768,True,,0.061,11.974,1,9229,0,0
3,1,Reporting,16,Q1,SELECT,1035.4272,True,,0.247,549.1,4,23556,0,0
3,1,Reporting,17,Q12,SELECT,94.7733,True,,0.248,46.7,2,47564,0,0
3,1,Reporting,18,Q1,SELECT,950.1885,True,,0.067,484.581,4,23553,0,0
3,1,Reporting,19,Q12,SELECT,94.4808,True,,0.114,46.784,2,47564,0,0
3,1,Reporting,20,Q12,SELECT,93.968,True,,0.085,46.55,2,47564,0,0
3,1,Reporting,21,Q12,SELECT,93.8257,True,,0.077,46.54,2,47564,0,0
3,1,Reporting,22,Q1,SELECT,977.8743,True,,0.061,512.935,4,23553,0,0
3,1,Reporting,23,Q1,SELECT,944.1589,True,,0.062,472.874,4,23553,0,0
3,1,Reporting,24,Q7,SELECT,184.4709,True,,0.535,98.535,4,290981,0,0
3,1,Reporting,25,Q12,SELECT,97.3853,True,,0.084,49.585,2,47564,0,0
3,1,Reporting,26,Q12,SELECT,93.278,True,,0.083,46.102,2,47564,0,0
3,1,Reporting,27,Q7,SELECT,184.9974,True,,0.282,98.688,4,290978,0,0
3,1,Reporting,28,Q6,SELECT,61.3125,True,,0.057,30.394,1,21115,0,0
3,1,Reporting,29,Q1,SELECT,943.6859,True,,0.077,481.395,4,23553,0,0
3,1,Reporting,30,Q1,SELECT,941.7662,True,,0.049,478.544,4,23553,0,0
3,1,Reporting,31,Q14,SELECT,23.315,True,,0.163,12.34,1,9229,0,0
3,2,Reporting,32,Q1,SELECT,1158.8919,True,,0.264,598.026,4,23556,0,0
3,2,Reporting,33,Q6,SELECT,66.5331,True,,0.048,34.301,1,21115,0,0
3,2,Reporting,34,Q12,SELECT,98.3686,True,,0.24,50.701,2,47564,0,0
3,2,Reporting,35,Q14,SELECT,24.2953,True,,0.144,13.364,1,9229,0,0
3,2,Reporting,36,Q6,SELECT,64.1152,True,,0.035,32.593,1,21115,0,0
3,2,Reporting,37,Q1,SELECT,952.1281,True,,0.052,495.755,4,23553,0,0
3,2,Reporting,38,Q14,SELECT,22.721,True,,0.08,11.969,1,9229,0,0
3,2,Reporting,39,Q1,SELECT,931.3283,True,,0.043,474.44,4,23553,0,0
3,2,Reporting,40,Q6,SELECT,62.158,True,,0.041,30.783,1,21115,0,0
