run,w_from,w_to,phase_from,phase_to,cross_phase,n1,n2,S_R,S_V,S_T,S_A,S_P,HSM,hsm_no_sr,hsm_no_sv,hsm_no_st,hsm_no_sa,hsm_no_sp
3,0,1,Reporting,Reporting,False,16,16,1.0,1.0,1.0,0.6562,0.6381,0.8589,0.8236,0.8236,0.8236,0.9095,0.9141
3,1,2,Reporting,Reporting,False,16,16,1.0,1.0,1.0,0.6562,0.7238,0.876,0.845,0.845,0.845,0.931,0.9141
3,2,3,Reporting,Reporting,False,16,15,1.0,0.9724,1.0,0.8846,0.7429,0.92,0.9,0.9069,0.9,0.9288,0.9642
3,3,4,Reporting,Reporting,False,15,16,1.0,0.9724,1.0,0.4643,0.6571,0.8188,0.7734,0.7804,0.7734,0.9074,0.8592
3,4,5,Reporting,Reporting,False,16,21,1.0,0.8886,1.0,0.4179,0.9333,0.848,0.8099,0.8378,0.8099,0.9555,0.8266
3,5,6,Reporting,Reporting,False,21,15,1.0,0.864,1.0,1.0,0.7905,0.9309,0.9136,0.9476,0.9136,0.9136,0.966
3,6,7,Reporting,Reporting,False,15,22,1.0,0.8468,1.0,0.7564,0.7048,0.8616,0.827,0.8653,0.827,0.8879,0.9008
3,7,8,Reporting,JoinHeavy,True,22,18,1.0,0.9165,1.0,0.2212,0.7333,0.7742,0.7178,0.7386,0.7178,0.9125,0.7844
3,8,9,JoinHeavy,JoinHeavy,False,18,25,1.0,0.867,1.0,0.8175,0.781,0.8931,0.8664,0.8996,0.8664,0.912,0.9211
3,9,10,JoinHeavy,JoinHeavy,False,25,19,1.0,0.8876,1.0,1.0,0.819,0.9413,0.9267,0.9548,0.9267,0.9267,0.9719
3,10,11,JoinHeavy,JoinHeavy,False,19,15,1.0,0.9024,1.0,0.8571,0.6571,0.8833,0.8542,0.8786,0.8542,0.8899,0.9399
3,11,12,JoinHeavy,JoinHeavy,False,15,18,1.0,0.9239,1.0,0.7381,0.6952,0.8714,0.8393,0.8583,0.8393,0.9048,0.9155
3,12,13,JoinHeavy,JoinHeavy,False,18,14,1.0,0.8966,1.0,0.8095,0.8476,0.9107,0.8884,0.9143,0.8884,0.9361,0.9265
3,13,14,JoinHeavy,JoinHeavy,False,14,10,1.0,0.864,1.0,0.9286,0.8,0.9185,0.8982,0.9321,0.8982,0.916,0.9482
3,14,15,JoinHeavy,JoinHeavy,False,10,20,1.0,0.7401,1.0,0.8175,0.6667,0.8448,0.806,0.871,0.806,0.8517,0.8894
3,15,16,JoinHeavy,Procurement,True,20,18,0.8889,0.9553,0.9923,0.5625,0.6476,0.8093,0.7894,0.7728,0.7636,0.871,0.8497
3,16,17,Procurement,Procurement,False,18,11,0.8889,0.8074,0.9923,0.9667,0.6571,0.8625,0.8559,0.8762,0.83,0.8364,0.9138
3,17,18,Procurement,Procurement,False,11,27,0.7778,0.6771,0.9718,0.8182,0.7429,0.7975,0.8025,0.8276,0.754,0.7924,0.8112
3,18,19,Procurement,Procurement,False,27,28,0.9722,0.9843,0.9946,0.8864,0.7048,0.9085,0.8925,0.8895,0.8869,0.914,0.9594
3,19,20,Procurement,Procurement,False,28,14,0.8929,0.7401,0.993,1.0,0.5905,0.8433,0.8309,0.8691,0.8058,0.8041,0.9065
3,20,21,Procurement,Procurement,False,14,25,0.8571,0.7774,0.9931,0.8333,0.7619,0.8446,0.8414,0.8614,0.8074,0.8474,0.8652
3,21,22,Procurement,Procurement,False,25,18,1.0,0.867,1.0,0.9091,0.7333,0.9019,0.8774,0.9106,0.8774,0.9001,0.944
3,22,23,Procurement,Procurement,False,18,21,0.9524,0.9352,0.9988,0.7917,0.7143,0.8785,0.86,0.8643,0.8484,0.9002,0.9195
3,23,24,Procurement,Customer,True,21,26,0.9908,0.9114,0.998,0.4524,0.6571,0.8019,0.7547,0.7746,0.7529,0.8893,0.8381
3,24,25,Customer,Customer,False,26,19,0.9858,0.8727,0.9999,1.0,0.8476,0.9412,0.93,0.9583,0.9265,0.9265,0.9646
3,25,26,Customer,Customer,False,19,24,0.989,0.9035,0.9999,1.0,0.6667,0.9118,0.8925,0.9139,0.8898,0.8898,0.9731
3,26,27,Customer,Customer,False,24,22,0.9962,0.9629,1.0,1.0,0.7143,0.9347,0.9193,0.9276,0.9184,0.9184,0.9898
3,27,28,Customer,Customer,False,22,18,0.9545,0.9165,0.9989,0.9688,0.581,0.8839,0.8663,0.8758,0.8552,0.8627,0.9597
3,28,29,Customer,Customer,False,18,21,0.8571,0.9352,0.9924,0.8529,0.5619,0.8399,0.8356,0.8161,0.8018,0.8367,0.9094
3,29,30,Customer,Customer,False,21,10,0.9429,0.7245,0.9895,0.6397,0.781,0.8155,0.7837,0.8383,0.772,0.8595,0.8241
3,30,31,Customer,Customer,False,10,23,0.887,0.6965,0.9795,0.5357,0.7524,0.7702,0.741,0.7886,0.7179,0.8288,0.7747
