run,w_from,w_to,cross_phase,t_sr_us,t_sv_us,t_st_us,t_sa_us,t_sp_us,t_total_us
3,0,1,False,301.79,5.04,640.71,90.33,1180.38,2218.25
3,1,2,False,151.42,1.92,513.83,56.29,727.92,1451.37
3,2,3,False,152.75,1.75,502.92,47.54,718.0,1422.96
3,3,4,False,132.96,1.58,453.58,51.08,632.58,1271.79
3,4,5,False,134.12,1.63,498.75,65.54,594.08,1294.12
3,5,6,False,121.08,1.54,403.04,45.12,565.96,1136.75
3,6,7,False,118.88,1.42,397.42,46.38,571.37,1135.46
3,7,8,True,108.67,1.33,460.67,90.92,762.33,1423.91
3,8,9,False,119.04,1.58,375.54,52.29,542.33,1090.79
3,9,10,False,109.33,1.29,372.58,46.79,488.42,1018.42
3,10,11,False,99.71,1.29,345.21,40.71,477.17,964.09
3,11,12,False,98.96,1.29,348.92,40.21,477.29,966.67
3,12,13,False,101.79,1.17,337.5,39.25,476.54,956.25
3,13,14,False,99.04,1.13,319.5,33.37,461.04,914.08
3,14,15,False,93.04,1.08,322.25,37.79,461.5,915.67
3,15,16,True,92.92,1.04,323.29,43.0,453.67,913.92
3,16,17,False,249.04,1.08,317.37,37.17,452.46,1057.12
3,17,18,False,88.33,1.04,307.96,38.63,439.0,874.96
3,18,19,False,88.88,1.21,313.96,45.25,434.5,883.79
3,19,20,False,90.42,1.17,305.67,38.92,412.5,848.67
3,20,21,False,86.96,1.33,287.92,38.33,407.58,822.13
3,21,22,False,86.29,1.08,288.54,38.33,417.75,832.0
3,22,23,False,87.13,1.12,293.54,36.37,404.79,822.96
3,23,24,True,82.13,1.04,283.33,39.83,396.0,802.33
3,24,25,False,94.83,1.04,278.08,38.21,414.96,827.13
3,25,26,False,79.79,1.0,273.71,36.67,386.5,777.66
3,26,27,False,83.58,0.83,276.88,36.33,456.17,853.79
3,27,28,False,83.08,1.0,289.17,34.71,394.79,802.75
3,28,29,False,79.25,1.08,273.12,33.0,385.17,771.62
3,29,30,False,79.38,1.13,265.58,29.33,379.38,754.79
3,30,31,False,78.21,1.13,271.04,30.75,374.46,755.58
