run,window,phase,seq,query,op_type,exec_ms,ok
1,0,Reporting,0,U_orders,UPDATE,3.8958,True
1,0,Reporting,1,Q6,SELECT,10213.2088,True
1,0,Reporting,2,Q14,SELECT,10137.7235,True
1,0,Reporting,3,Q1,SELECT,11584.8779,True
1,0,Reporting,4,Q14,SELECT,8532.5255,True
1,0,Reporting,5,Q6,SELECT,7607.3637,True
1,0,Reporting,6,U_orders,UPDATE,1.3325,True
1,0,Reporting,7,Q14,SELECT,6862.6631,True
1,0,Reporting,8,Q14,SELECT,6188.6597,True
1,0,Reporting,9,Q1,SELECT,8056.1607,True
1,0,Reporting,10,Q4,SELECT,17322.6102,True
1,0,Reporting,11,Q1,SELECT,11994.3692,True
1,0,Reporting,12,Q4,SELECT,5954.7056,True
1,0,Reporting,13,Q1,SELECT,12875.3995,True
1,0,Reporting,14,Q14,SELECT,10568.753,True
1,0,Reporting,15,U_orders,UPDATE,1.493,True
1,0,Reporting,16,Q1,SELECT,12134.0076,True
1,0,Reporting,17,Q6,SELECT,10589.7562,True
1,0,Reporting,18,Q1,SELECT,13688.8692,True
1,0,Reporting,19,Q1,SELECT,12804.4735,True
1,0,Reporting,20,U_orders,UPDATE,2.1755,True
1,0,Reporting,21,U_orders,UPDATE,1.014,True
1,0,Reporting,22,Q14,SELECT,11040.5574,True
1,0,Reporting,23,Q14,SELECT,10643.8632,True
1,0,Reporting,24,Q6,SELECT,10707.5575,True
1,0,Reporting,25,U_orders,UPDATE,2.2003,True
1,0,Reporting,26,Q1,SELECT,13999.5117,True
1,0,Reporting,27,Q14,SELECT,10578.003,True
1,0,Reporting,28,Q14,SELECT,11623.4764,True
1,0,Reporting,29,Q1,SELECT,14459.1589,True
1,1,Reporting,0,Q1,SELECT,13807.0211,True
1,1,Reporting,1,Q12,SELECT,10565.6337,True
1,1,Reporting,2,Q14,SELECT,10227.132,True
1,1,Reporting,3,Q1,SELECT,12335.9177,True
1,1,Reporting,4,Q14,SELECT,10200.5425,True
1,1,Reporting,5,Q1,SELECT,12005.2061,True
1,1,Reporting,6,U_orders,UPDATE,1.9035,True
1,1,Reporting,7,Q6,SELECT,9795.4569,True
1,1,Reporting,8,Q1,SELECT,12353.6282,True
1,1,Reporting,9,Q12,SELECT,10391.1005,True
1,1,Reporting,10,Q6,SELECT,9891.2504,True
1,1,Reporting,11,U_orders,UPDATE,1.2703,True
1,1,Reporting,12,Q14,SELECT,10475.3398,True
1,1,Reporting,13,U_orders,UPDATE,0.9285,True
1,1,Reporting,14,Q14,SELECT,12595.1233,True
1,1,Reporting,15,U_orders,UPDATE,1.5085,True
1,1,Reporting,16,Q12,SELECT,10246.7514,True
1,1,Reporting,17,Q1,SELECT,12353.3759,True
1,1,Reporting,18,Q6,SELECT,10266.6841,True
1,1,Reporting,19,Q6,SELECT,10062.3138,True
1,1,Reporting,20,U_orders,UPDATE,1.1698,True
1,1,Reporting,21,U_orders,UPDATE,0.6812,True
1,1,Reporting,22,Q1,SELECT,12789.3365,True
1,1,Reporting,23,Q12,SELECT,10514.7788,True
1,1,Reporting,24,Q6,SELECT,11666.1749,True
1,1,Reporting,25,Q6,SELECT,9978.3551,True
1,1,Reporting,26,Q6,SELECT,9814.5338,True
1,1,Reporting,27,Q14,SELECT,10053.1367,True
1,1,Reporting,28,Q1,SELECT,12239.2314,True
1,1,Reporting,29,Q6,SELECT,10049.7428,True
1,2,Reporting,0,Q1,SELECT,12620.0339,True
1,2,Reporting,1,Q6,SELECT,9954.3252,True
1,2,Reporting,2,Q1,SELECT,12284.4247,True
1,2,Reporting,3,Q6,SELECT,9996.6701,True
1,2,Reporting,4,Q1,SELECT,12357.4819,True
1,2,Reporting,5,Q1,SELECT,12209.3617,True
1,2,Reporting,6,U_orders,UPDATE,3.1382,True
1,2,Reporting,7,Q12,SELECT,10354.0129,True
1,2,Reporting,8,Q14,SELECT,10254.3607,True
1,2,Reporting,9,Q1,SELECT,12243.1325,True
1,2,Reporting,10,Q1,SELECT,12193.5007,True
1,2,Reporting,11,Q1,SELECT,12314.6382,True
1,2,Reporting,12,Q6,SELECT,9904.4807,True
1,2,Reporting,13,Q6,SELECT,9828.1111,True
1,2,Reporting,14,Q12,SELECT,10171.1649,True
1,2,Reporting,15,Q4,SELECT,3158.337,True
1,2,Reporting,16,U_orders,UPDATE,1.5905,True
1,2,Reporting,17,Q12,SELECT,10346.0007,True
1,2,Reporting,18,Q4,SELECT,3199.54,True
1,2,Reporting,19,Q12,SELECT,10277.8566,True
1,2,Reporting,20,U_orders,UPDATE,2.3549,True
1,2,Reporting,21,Q1,SELECT,12315.9927,True
1,2,Reporting,22,U_orders,UPDATE,1.335,True
1,2,Reporting,23,U_orders,UPDATE,0.7821,True
1,2,Reporting,24,Q14,SELECT,10342.7546,True
1,2,Reporting,25,Q12,SELECT,10304.7754,True
1,2,Reporting,26,Q12,SELECT,10510.5117,True
1,2,Reporting,27,Q1,SELECT,12366.0624,True
1,2,Reporting,28,U_orders,UPDATE,1.9964,True
1,2,Reporting,29,Q4,SELECT,1481.1935,True
1,3,Reporting,0,Q6,SELECT,10187.5521,True
1,3,Reporting,1,Q14,SELECT,10368.3803,True
1,3,Reporting,2,Q1,SELECT,12295.6175,True
1,3,Reporting,3,Q12,SELECT,10562.703,True
1,3,Reporting,4,Q6,SELECT,9976.667,True
1,3,Reporting,5,Q1,SELECT,12351.9477,True
1,3,Reporting,6,U_orders,UPDATE,5.4033,True
1,3,Reporting,7,Q12,SELECT,10297.185,True
1,3,Reporting,8,Q14,SELECT,10025.5355,True
1,3,Reporting,9,U_orders,UPDATE,1.2625,True
1,3,Reporting,10,U_orders,UPDATE,0.6506,True
1,3,Reporting,11,Q14,SELECT,9991.5295,True
1,3,Reporting,12,Q1,SELECT,12315.7805,True
1,3,Reporting,13,Q6,SELECT,9887.998,True
