run,window,phase,seq,query,op_type,exec_ms,ok
1,0,Reporting,0,Q14,SELECT,24.4984,True
1,0,Reporting,1,Q1,SELECT,66.2517,True
1,0,Reporting,2,Q1,SELECT,66.5558,True
1,0,Reporting,3,U_orders,UPDATE,0.7727,True
1,0,Reporting,4,Q14,SELECT,21.641,True
1,0,Reporting,5,U_orders,UPDATE,0.3559,True
1,0,Reporting,6,Q4,SELECT,6.7908,True
1,0,Reporting,7,Q1,SELECT,68.691,True
1,0,Reporting,8,Q14,SELECT,22.0217,True
1,0,Reporting,9,Q14,SELECT,21.4548,True
1,0,Reporting,10,Q6,SELECT,10.9191,True
1,0,Reporting,11,Q1,SELECT,69.2049,True
1,0,Reporting,12,Q4,SELECT,6.5404,True
1,0,Reporting,13,Q1,SELECT,77.938,True
1,0,Reporting,14,Q14,SELECT,21.9555,True
1,0,Reporting,15,Q1,SELECT,73.5559,True
1,0,Reporting,16,Q1,SELECT,65.8666,True
1,0,Reporting,17,U_orders,UPDATE,0.7035,True
1,0,Reporting,18,Q14,SELECT,21.3291,True
1,0,Reporting,19,Q6,SELECT,10.54,True
1,0,Reporting,20,U_orders,UPDATE,0.3254,True
1,0,Reporting,21,Q14,SELECT,21.1103,True
1,0,Reporting,22,Q14,SELECT,21.3028,True
1,0,Reporting,23,Q1,SELECT,66.2791,True
1,0,Reporting,24,Q1,SELECT,69.1591,True
1,0,Reporting,25,U_orders,UPDATE,1.0589,True
1,0,Reporting,26,Q6,SELECT,10.5328,True
1,0,Reporting,27,Q6,SELECT,10.6608,True
1,0,Reporting,28,Q14,SELECT,17.587,True
1,0,Reporting,29,U_orders,UPDATE,0.6713,True
1,1,Reporting,0,U_orders,UPDATE,0.3443,True
1,1,Reporting,1,Q12,SELECT,13.2878,True
1,1,Reporting,2,Q1,SELECT,72.4686,True
1,1,Reporting,3,Q12,SELECT,14.7503,True
1,1,Reporting,4,U_orders,UPDATE,0.603,True
1,1,Reporting,5,Q1,SELECT,70.4483,True
1,1,Reporting,6,U_orders,UPDATE,0.7156,True
1,1,Reporting,7,Q6,SELECT,10.4324,True
1,1,Reporting,8,Q6,SELECT,9.9621,True
1,1,Reporting,9,Q14,SELECT,16.9291,True
1,1,Reporting,10,Q6,SELECT,10.4933,True
1,1,Reporting,11,Q6,SELECT,10.2717,True
1,1,Reporting,12,Q12,SELECT,12.4234,True
1,1,Reporting,13,Q6,SELECT,10.019,True
1,1,Reporting,14,Q14,SELECT,16.6138,True
