table,col,rebuild_ms,run,sf,n_lineitem
lineitem,l_shipdate,4139.25,1,3.0,17993250
lineitem,l_orderkey,3490.27,1,3.0,17993250
orders,o_orderdate,943.32,1,3.0,17993250
lineitem,l_shipdate,4352.48,2,3.0,17993250
lineitem,l_orderkey,3624.15,2,3.0,17993250
orders,o_orderdate,921.96,2,3.0,17993250
lineitem,l_shipdate,3886.07,3,3.0,17993250
lineitem,l_orderkey,3562.95,3,3.0,17993250
orders,o_orderdate,943.58,3,3.0,17993250
lineitem,l_shipdate,4000.07,4,3.0,17993250
lineitem,l_orderkey,3555.82,4,3.0,17993250
orders,o_orderdate,904.92,4,3.0,17993250
lineitem,l_shipdate,3963.56,5,3.0,17993250
lineitem,l_orderkey,3570.17,5,3.0,17993250
orders,o_orderdate,935.48,5,3.0,17993250
