run,w_from,w_to,phase_from,phase_to,cross_phase,S_R,S_V,S_T,S_A,S_P,HSM
1,0,1,Reporting,Reporting,False,1.0,1.0,1.0,0.9333,0.8426,0.9631
1,1,2,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.8925,0.9772
1,2,3,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.9163,0.9808
1,3,4,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.8581,0.972
1,4,5,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7204,0.9581
1,5,6,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.786,0.9679
1,6,7,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7382,0.9607
1,7,8,Reporting,JoinHeavy,True,0.75,0.8826,0.7704,0.2396,0.5936,0.6551
1,8,9,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8832,0.9825
1,9,10,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.7013,0.9552
1,10,11,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9545,0.7608,0.955
1,11,12,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9545,0.7405,0.952
1,12,13,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.807,0.9574
1,13,14,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9402,0.991
1,14,15,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.7801,0.9534
1,15,16,JoinHeavy,Procurement,True,0.71,0.8154,0.7749,0.3707,0.6428,0.6661
1,16,17,Procurement,Procurement,False,1.0,1.0,1.0,0.9118,0.8405,0.9584
1,17,18,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8774,0.9816
1,18,19,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8104,0.9716
1,19,20,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8185,0.9728
1,20,21,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8659,0.9799
1,21,22,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7833,0.9675
1,22,23,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7806,0.9671
1,23,24,Procurement,Customer,True,0.66,0.9076,0.7444,0.3833,0.7622,0.6864
1,24,25,Customer,Customer,False,1.0,1.0,1.0,0.869,0.7086,0.9301
1,25,26,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.6836,0.9216
1,26,27,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.5602,0.9031
1,27,28,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.6065,0.91
1,28,29,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.6796,0.921
1,29,30,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.5926,0.9079
1,30,31,Customer,Customer,False,1.0,1.0,1.0,1.0,0.811,0.9716
2,0,1,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8098,0.9715
2,1,2,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7961,0.9694
2,2,3,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8875,0.9831
