run,window,phase,seq,query,op_type,exec_ms,ok
1,0,Reporting,0,Q6,SELECT,44.9823,True
1,0,Reporting,1,U_orders,UPDATE,0.3813,True
1,0,Reporting,2,U_orders,UPDATE,0.1524,True
1,0,Reporting,3,Q1,SELECT,266.998,True
1,0,Reporting,4,Q1,SELECT,264.2057,True
1,0,Reporting,5,Q1,SELECT,263.7039,True
1,0,Reporting,6,U_orders,UPDATE,0.7815,True
1,0,Reporting,7,Q14,SELECT,43.3253,True
1,0,Reporting,8,Q14,SELECT,42.7095,True
1,0,Reporting,9,Q14,SELECT,43.4399,True
1,0,Reporting,10,Q1,SELECT,266.1401,True
1,0,Reporting,11,Q6,SELECT,40.9694,True
1,0,Reporting,12,Q4,SELECT,22.4256,True
1,0,Reporting,13,Q6,SELECT,40.4206,True
1,0,Reporting,14,Q1,SELECT,264.5164,True
1,0,Reporting,15,Q14,SELECT,43.3902,True
1,0,Reporting,16,Q1,SELECT,262.7224,True
1,0,Reporting,17,Q14,SELECT,42.9655,True
1,0,Reporting,18,Q4,SELECT,22.2965,True
1,0,Reporting,19,Q6,SELECT,40.6877,True
1,0,Reporting,20,Q14,SELECT,43.5154,True
1,0,Reporting,21,U_orders,UPDATE,0.7255,True
1,0,Reporting,22,U_orders,UPDATE,0.2193,True
1,0,Reporting,23,Q14,SELECT,43.3997,True
1,0,Reporting,24,Q14,SELECT,43.3766,True
1,0,Reporting,25,Q1,SELECT,263.3652,True
1,0,Reporting,26,Q1,SELECT,263.8382,True
1,0,Reporting,27,Q14,SELECT,43.123,True
1,0,Reporting,28,Q1,SELECT,264.7622,True
1,0,Reporting,29,U_orders,UPDATE,0.5908,True
1,1,Reporting,0,Q1,SELECT,264.3036,True
1,1,Reporting,1,U_orders,UPDATE,0.7533,True
1,1,Reporting,2,Q12,SELECT,51.2107,True
1,1,Reporting,3,Q14,SELECT,43.3807,True
1,1,Reporting,4,Q6,SELECT,40.875,True
1,1,Reporting,5,U_orders,UPDATE,0.5744,True
1,1,Reporting,6,Q14,SELECT,42.8939,True
1,1,Reporting,7,Q14,SELECT,42.5758,True
1,1,Reporting,8,U_orders,UPDATE,0.7098,True
1,1,Reporting,9,Q12,SELECT,50.2678,True
1,1,Reporting,10,Q12,SELECT,49.3477,True
1,1,Reporting,11,Q6,SELECT,39.7482,True
1,1,Reporting,12,Q1,SELECT,268.7522,True
