run,w_from,w_to,phase_from,phase_to,cross_phase,S_R,S_V,S_T,S_A,S_P,HSM
1,0,1,Reporting,Reporting,False,1.0,1.0,1.0,0.9333,0.781,0.9429
1,1,2,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.781,0.9495
1,2,3,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.6571,0.9248
1,3,4,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.7714,0.9476
1,4,5,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7333,0.9467
1,5,6,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.6571,0.9314
1,6,7,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.6762,0.9352
1,7,8,Reporting,JoinHeavy,True,0.75,0.8826,0.7508,0.2396,0.819,0.6884
1,8,9,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.7333,0.9467
1,9,10,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.819,0.9638
1,10,11,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9545,0.9333,0.9776
1,11,12,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9545,0.819,0.9547
1,12,13,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.9143,0.9692
1,13,14,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9238,0.9848
1,14,15,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.9333,0.973
1,15,16,JoinHeavy,Procurement,True,0.71,0.8154,0.7603,0.3707,0.7333,0.6779
1,16,17,Procurement,Procurement,False,1.0,1.0,1.0,0.9118,0.8857,0.9595
1,17,18,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8286,0.9657
1,18,19,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7524,0.9505
1,19,20,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8667,0.9733
1,20,21,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7714,0.9543
1,21,22,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8,0.96
1,22,23,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.6571,0.9314
1,23,24,Procurement,Customer,True,0.66,0.9076,0.6946,0.3833,0.781,0.6853
1,24,25,Customer,Customer,False,1.0,1.0,1.0,0.869,0.6286,0.8995
1,25,26,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.6286,0.8948
1,26,27,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.7143,0.9119
