run,w_from,w_to,phase_from,phase_to,cross_phase,S_R,S_V,S_T,S_A,S_P,HSM
1,0,1,Reporting,Reporting,False,1.0,1.0,1.0,0.9333,0.87,0.9672
1,1,2,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.8711,0.974
1,2,3,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.8529,0.9713
1,3,4,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.8796,0.9753
1,4,5,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.9279,0.9892
1,5,6,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8993,0.9849
1,6,7,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.9209,0.9881
1,7,8,Reporting,JoinHeavy,True,0.75,0.8826,0.7704,0.2396,0.6986,0.6708
1,8,9,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9389,0.9908
1,9,10,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9356,0.9903
1,10,11,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9545,0.9631,0.9854
1,11,12,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9545,0.9433,0.9824
1,12,13,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.9731,0.9823
1,13,14,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9798,0.997
1,14,15,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.9718,0.9821
1,15,16,JoinHeavy,Procurement,True,0.71,0.8154,0.7749,0.3707,0.6169,0.6622
1,16,17,Procurement,Procurement,False,1.0,1.0,1.0,0.9118,0.8689,0.9627
1,17,18,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.86,0.979
1,18,19,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8087,0.9713
1,19,20,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8351,0.9753
1,20,21,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8872,0.9831
1,21,22,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8055,0.9708
1,22,23,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8033,0.9705
1,23,24,Procurement,Customer,True,0.66,0.9076,0.7444,0.3833,0.7121,0.6789
1,24,25,Customer,Customer,False,1.0,1.0,1.0,0.869,0.8458,0.9507
1,25,26,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.8805,0.9511
1,26,27,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.8251,0.9428
1,27,28,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.8174,0.9417
1,28,29,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.8558,0.9474
1,29,30,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.8174,0.9417
1,30,31,Customer,Customer,False,1.0,1.0,1.0,1.0,0.8559,0.9784
2,0,1,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7942,0.9691
2,1,2,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.6656,0.9498
2,2,3,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8542,0.9781
2,3,4,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7542,0.9631
2,4,5,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8707,0.9806
2,5,6,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7878,0.9682
2,6,7,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8123,0.9719
2,7,8,Reporting,JoinHeavy,True,0.75,0.8826,0.7704,0.2396,0.6077,0.6572
2,8,9,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8664,0.98
2,9,10,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8896,0.9834
2,10,11,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8972,0.9846
2,11,12,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8848,0.9827
2,12,13,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.924,0.9886
2,13,14,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8779,0.9817
2,14,15,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.7524,0.9629
2,15,16,JoinHeavy,Procurement,True,0.71,0.8154,0.7749,0.379,0.6374,0.667
2,16,17,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.9405,0.9911
2,17,18,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8552,0.9783
2,18,19,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7937,0.9691
2,19,20,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.759,0.9638
2,20,21,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.701,0.9552
2,21,22,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.6549,0.9482
2,22,23,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7874,0.9681
2,23,24,Procurement,Customer,True,0.66,0.9076,0.7444,0.3833,0.6464,0.669
2,24,25,Customer,Customer,False,1.0,1.0,1.0,1.0,0.7717,0.9658
2,25,26,Customer,Customer,False,1.0,1.0,1.0,0.9762,0.7864,0.9632
2,26,27,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.8581,0.9478
2,27,28,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.8398,0.945
2,28,29,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.8208,0.9422
2,29,30,Customer,Customer,False,1.0,1.0,1.0,0.8474,0.8495,0.9469
2,30,31,Customer,Customer,False,1.0,1.0,1.0,0.8474,0.8678,0.9496
3,0,1,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8081,0.9712
3,1,2,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7981,0.9697
3,2,3,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.784,0.9676
3,3,4,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.9194,0.9812
3,4,5,Reporting,Reporting,False,1.0,1.0,1.0,0.7333,0.8313,0.9214
3,5,6,Reporting,Reporting,False,1.0,1.0,1.0,0.7667,0.8167,0.9258
3,6,7,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8207,0.9731
3,7,8,Reporting,JoinHeavy,True,0.75,0.8826,0.7704,0.2396,0.7132,0.673
3,8,9,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9421,0.9913
3,9,10,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9033,0.9855
3,10,11,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9521,0.9928
3,11,12,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9394,0.9909
3,12,13,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9429,0.9914
3,13,14,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9084,0.9863
3,14,15,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9254,0.9888
3,15,16,JoinHeavy,Procurement,True,0.71,0.8154,0.7749,0.379,0.4886,0.6447
3,16,17,Procurement,Procurement,False,1.0,1.0,1.0,0.9706,0.7114,0.9508
3,17,18,Procurement,Procurement,False,1.0,1.0,1.0,0.9706,0.7889,0.9624
3,18,19,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7373,0.9606
3,19,20,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8079,0.9712
3,20,21,Procurement,Procurement,False,1.0,1.0,1.0,0.9118,0.7069,0.9384
3,21,22,Procurement,Procurement,False,1.0,1.0,1.0,0.9118,0.7985,0.9521
3,22,23,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7332,0.96
3,23,24,Procurement,Customer,True,0.66,0.9076,0.7444,0.3879,0.7934,0.692
3,24,25,Customer,Customer,False,1.0,1.0,1.0,0.9048,0.8208,0.9541
3,25,26,Customer,Customer,False,1.0,1.0,1.0,0.9286,0.8598,0.9647
3,26,27,Customer,Customer,False,1.0,1.0,1.0,0.869,0.7773,0.9404
3,27,28,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.8006,0.9391
3,28,29,Customer,Customer,False,1.0,1.0,1.0,0.9762,0.7647,0.9599
3,29,30,Customer,Customer,False,1.0,1.0,1.0,1.0,0.894,0.9841
3,30,31,Customer,Customer,False,1.0,1.0,1.0,0.869,0.7331,0.9338
4,0,1,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8566,0.9785
4,1,2,Reporting,Reporting,False,1.0,1.0,1.0,0.9333,0.7893,0.9551
4,2,3,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.8868,0.9764
4,3,4,Reporting,Reporting,False,1.0,1.0,1.0,0.8333,0.7908,0.9353
4,4,5,Reporting,Reporting,False,1.0,1.0,1.0,0.8571,0.9002,0.9565
4,5,6,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.8332,0.9683
4,6,7,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8823,0.9823
4,7,8,Reporting,JoinHeavy,True,0.75,0.8826,0.7704,0.2396,0.7501,0.6785
4,8,9,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9587,0.9938
4,9,10,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9571,0.9936
