run,w_from,w_to,phase_from,phase_to,cross_phase,S_R,S_V,S_T,S_A,S_P,HSM
1,0,1,Reporting,Reporting,False,1.0,1.0,1.0,0.9333,0.7492,0.949
1,1,2,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.9211,0.9815
1,2,3,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.8479,0.9705
1,3,4,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.583,0.9308
1,4,5,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8286,0.9743
1,5,6,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7653,0.9648
1,6,7,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8816,0.9822
1,7,8,Reporting,JoinHeavy,True,0.75,0.8826,0.7704,0.2396,0.746,0.6779
1,8,9,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.928,0.9892
1,9,10,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8439,0.9766
1,10,11,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9545,0.9087,0.9772
1,11,12,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9545,0.8929,0.9748
1,12,13,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.9228,0.9748
1,13,14,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9017,0.9852
1,14,15,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.9312,0.976
1,15,16,JoinHeavy,Procurement,True,0.71,0.8154,0.7749,0.3707,0.5941,0.6588
1,16,17,Procurement,Procurement,False,1.0,1.0,1.0,0.9118,0.8586,0.9611
1,17,18,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8959,0.9844
1,18,19,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8459,0.9769
1,19,20,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8515,0.9777
1,20,21,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8841,0.9826
1,21,22,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8243,0.9736
1,22,23,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8246,0.9737
1,23,24,Procurement,Customer,True,0.66,0.9076,0.7444,0.3833,0.7526,0.685
1,24,25,Customer,Customer,False,1.0,1.0,1.0,0.869,0.7581,0.9375
1,25,26,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.78,0.936
1,26,27,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.6541,0.9172
1,27,28,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.6689,0.9194
1,28,29,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.7498,0.9315
1,29,30,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.6744,0.9202
1,30,31,Customer,Customer,False,1.0,1.0,1.0,1.0,0.8282,0.9742
2,0,1,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.6894,0.9534
2,1,2,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.894,0.9841
2,2,3,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7375,0.9606
2,3,4,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8103,0.9715
2,4,5,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8163,0.9724
2,5,6,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7933,0.969
2,6,7,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.799,0.9699
2,7,8,Reporting,JoinHeavy,True,0.75,0.8826,0.7704,0.2396,0.6966,0.6705
2,8,9,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.7388,0.9608
2,9,10,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8109,0.9716
2,10,11,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8761,0.9814
2,11,12,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.7491,0.9624
