run,window,phase,seq,query,op_type,exec_ms,ok
1,0,Reporting,0,Q1,SELECT,1585.7438,True
1,0,Reporting,1,Q14,SELECT,524.4221,True
1,0,Reporting,2,Q14,SELECT,522.4763,True
1,0,Reporting,3,Q6,SELECT,510.714,True
1,0,Reporting,4,Q6,SELECT,508.8894,True
1,0,Reporting,5,Q1,SELECT,1536.6556,True
1,0,Reporting,6,Q14,SELECT,520.3543,True
1,0,Reporting,7,Q14,SELECT,511.6284,True
1,0,Reporting,8,Q1,SELECT,1552.4131,True
1,0,Reporting,9,Q14,SELECT,514.421,True
1,0,Reporting,10,U_orders,UPDATE,1.4316,True
1,0,Reporting,11,Q14,SELECT,520.4364,True
1,0,Reporting,12,U_orders,UPDATE,0.7723,True
1,0,Reporting,13,Q6,SELECT,513.1133,True
1,0,Reporting,14,Q1,SELECT,1560.1937,True
1,0,Reporting,15,Q14,SELECT,517.6023,True
1,0,Reporting,16,Q4,SELECT,259.7436,True
1,0,Reporting,17,Q14,SELECT,515.7249,True
1,0,Reporting,18,U_orders,UPDATE,0.7789,True
1,0,Reporting,19,Q6,SELECT,507.2209,True
1,0,Reporting,20,U_orders,UPDATE,0.4853,True
1,0,Reporting,21,Q1,SELECT,1545.009,True
1,0,Reporting,22,U_orders,UPDATE,0.39,True
1,0,Reporting,23,Q1,SELECT,1536.6863,True
1,0,Reporting,24,Q4,SELECT,259.1822,True
1,0,Reporting,25,Q1,SELECT,1540.8467,True
1,0,Reporting,26,Q1,SELECT,1536.4181,True
1,0,Reporting,27,U_orders,UPDATE,0.8018,True
1,0,Reporting,28,Q1,SELECT,1503.7627,True
1,0,Reporting,29,Q14,SELECT,508.3271,True
1,1,Reporting,0,Q6,SELECT,505.1579,True
1,1,Reporting,1,Q6,SELECT,502.9504,True
1,1,Reporting,2,Q1,SELECT,1536.5467,True
1,1,Reporting,3,Q1,SELECT,1541.8291,True
1,1,Reporting,4,U_orders,UPDATE,1.2929,True
1,1,Reporting,5,U_orders,UPDATE,0.2591,True
1,1,Reporting,6,U_orders,UPDATE,0.3928,True
1,1,Reporting,7,Q1,SELECT,1525.9247,True
1,1,Reporting,8,Q14,SELECT,511.0515,True
1,1,Reporting,9,Q14,SELECT,511.3015,True
1,1,Reporting,10,Q1,SELECT,1561.6581,True
1,1,Reporting,11,Q6,SELECT,508.0805,True
1,1,Reporting,12,Q6,SELECT,504.8529,True
1,1,Reporting,13,Q12,SELECT,951.4467,True
1,1,Reporting,14,Q14,SELECT,512.0429,True
1,1,Reporting,15,Q14,SELECT,510.87,True
1,1,Reporting,16,Q6,SELECT,507.4095,True
1,1,Reporting,17,Q6,SELECT,502.076,True
1,1,Reporting,18,U_orders,UPDATE,1.3175,True
1,1,Reporting,19,U_orders,UPDATE,0.3925,True
1,1,Reporting,20,Q12,SELECT,924.8485,True
1,1,Reporting,21,Q1,SELECT,1554.0748,True
1,1,Reporting,22,Q6,SELECT,507.2901,True
