run,window,phase,n_total,n_select,n_update,n_insert,n_delete,avg_ms,total_ms,n_qtypes,avg_planning_ms,avg_shared_blk_hit
4,0,Reporting,20,20,0,0,0,200.08298,4001.6596,5,0.13455,50094.1
4,1,Reporting,28,28,0,0,0,262.11969285714287,7339.3514,4,0.07960714285714286,29905.60714285714
4,2,Reporting,30,30,0,0,0,235.66417666666666,7069.9253,5,0.1551,81902.9
4,3,Reporting,21,21,0,0,0,144.29773809523812,3030.2525000000005,4,0.07661904761904761,22112.190476190477
4,4,Reporting,19,19,0,0,0,237.12766842105262,4505.4257,3,0.06768421052631579,17249.36842105263
4,5,Reporting,22,22,0,0,0,392.16912272727274,8627.7207,5,0.10281818181818182,37338.63636363636
4,6,Reporting,20,20,0,0,0,322.61722,6452.3444,4,0.0805,23704.25
4,7,Reporting,18,18,0,0,0,215.31278333333333,3875.6301,6,0.1225,40189.444444444445
4,8,JoinHeavy,17,17,0,0,0,99.75832352941177,1695.8915,4,0.24358823529411766,177062.4705882353
4,9,JoinHeavy,24,24,0,0,0,109.89559166666668,2637.4942,4,0.27520833333333333,200714.66666666666
4,10,JoinHeavy,17,17,0,0,0,168.28409411764707,2860.8296,3,0.28441176470588236,263919.5882352941
4,11,JoinHeavy,20,20,0,0,0,135.82211999999998,2716.4424,4,0.27035,209638.95
4,12,JoinHeavy,22,22,0,0,0,197.73474090909093,4350.1643,5,0.2580909090909091,134009.5
4,13,JoinHeavy,15,15,0,0,0,106.75026666666666,1601.254,4,0.3384,138212.26666666666
4,14,JoinHeavy,28,28,0,0,0,105.25772857142859,2947.2164000000002,3,0.24371428571428572,89060.78571428571
4,15,JoinHeavy,21,21,0,0,0,147.9851095238095,3107.6873,5,0.2929047619047619,101894.71428571429
4,16,Procurement,16,14,1,1,0,132.31068125000002,2116.9709000000003,6,0.212,36489.125
4,17,Procurement,16,15,1,0,0,207.10236875,3313.6379,3,0.1440625,34838.1875
4,18,Procurement,23,15,0,8,0,120.95072173913043,2781.8666,4,0.11313043478260872,17518.17391304348
4,19,Procurement,21,14,1,6,0,144.6173380952381,3036.9641,5,0.10395238095238096,22500.285714285714
4,20,Procurement,26,15,11,0,0,196.5761153846154,5110.979,4,0.14342307692307693,21002.23076923077
4,21,Procurement,21,18,0,3,0,125.75450000000001,2640.8445,4,0.14604761904761906,20128.095238095237
4,22,Procurement,20,15,1,4,0,226.05535500000002,4521.1071,5,0.1403,34225.7
4,23,Procurement,19,17,0,2,0,237.91584210526315,4520.401,4,0.19173684210526315,30988.105263157893
4,24,Customer,19,18,1,0,0,248.34805263157895,4718.613,4,0.26652631578947367,61304.26315789474
4,25,Customer,23,22,1,0,0,167.56820869565217,3854.0688,5,0.2584347826086956,59894.47826086957
4,26,Customer,22,17,5,0,0,147.32225909090909,3241.0897,4,0.2121818181818182,47378.545454545456
4,27,Customer,18,18,0,0,0,135.77390000000003,2443.9302000000002,3,0.2595,81965.38888888889
4,28,Customer,18,15,3,0,0,304.57730555555554,5482.3915,4,0.24777777777777776,51476.88888888889
4,29,Customer,13,13,0,0,0,273.26884615384614,3552.495,3,0.29123076923076924,75286.30769230769
4,30,Customer,15,15,0,0,0,279.1438933333333,4187.1584,3,0.2748,72190.0
4,31,Customer,19,19,0,0,0,203.1024,3858.9456,3,0.26042105263157894,72218.05263157895
