run,window,phase,seq,query,op_type,exec_ms,ok,err,planning_ms,exec_ms_pg,rows_returned,shared_blks_hit,shared_blks_read,temp_blks_written
4,0,Reporting,0,Q1,SELECT,1022.1647,True,,0.297,538.868,4,22510,1046,0
4,0,Reporting,1,Q14,SELECT,23.6985,True,,0.206,12.787,1,9228,1,0
4,0,Reporting,2,Q1,SELECT,988.9001,True,,0.042,503.221,4,23553,0,0
4,0,Reporting,3,Q6,SELECT,61.9134,True,,0.038,30.708,1,21114,1,0
4,0,Reporting,4,Q14,SELECT,22.5489,True,,0.066,12.236,1,9229,0,0
4,0,Reporting,5,Q5,SELECT,117.57,True,,0.712,65.308,5,225709,2202,0
4,0,Reporting,6,Q6,SELECT,62.2682,True,,0.042,31.325,1,21115,0,0
4,0,Reporting,7,Q6,SELECT,62.4195,True,,0.04,31.306,1,21115,0,0
4,0,Reporting,8,Q14,SELECT,23.4254,True,,0.069,12.225,1,9229,0,0
4,0,Reporting,9,Q6,SELECT,60.1318,True,,0.034,30.239,1,21115,0,0
4,0,Reporting,10,Q14,SELECT,22.2042,True,,0.071,11.879,1,9229,0,0
4,0,Reporting,11,Q1,SELECT,992.1886,True,,0.045,507.335,4,23553,0,0
4,0,Reporting,12,Q14,SELECT,21.8153,True,,0.056,11.877,1,9229,0,0
4,0,Reporting,13,Q6,SELECT,61.887,True,,0.038,30.76,1,21115,0,0
4,0,Reporting,14,Q6,SELECT,60.6953,True,,0.035,30.318,1,21115,0,0
4,0,Reporting,15,Q12,SELECT,94.3101,True,,0.101,47.018,2,47564,0,0
4,0,Reporting,16,Q5,SELECT,110.2705,True,,0.351,58.899,5,227908,0,0
4,0,Reporting,17,Q5,SELECT,108.3421,True,,0.352,56.112,5,227908,0,0
4,0,Reporting,18,Q14,SELECT,22.8911,True,,0.062,12.536,1,9229,0,0
4,0,Reporting,19,Q6,SELECT,62.0149,True,,0.034,30.733,1,21115,0,0
4,1,Reporting,20,Q12,SELECT,97.9555,True,,0.345,48.319,2,47564,0,0
4,1,Reporting,21,Q6,SELECT,66.055,True,,0.059,34.226,1,21115,0,0
4,1,Reporting,22,Q6,SELECT,62.7114,True,,0.035,30.602,1,21115,0,0
4,1,Reporting,23,Q1,SELECT,1030.6731,True,,0.066,545.961,4,23553,0,0
4,1,Reporting,24,Q6,SELECT,60.7171,True,,0.059,30.229,1,21115,0,0
4,1,Reporting,25,Q1,SELECT,939.8588,True,,0.066,481.488,4,23553,0,0
4,1,Reporting,26,Q12,SELECT,93.0265,True,,0.117,46.173,2,47564,0,0
4,1,Reporting,27,Q6,SELECT,61.2927,True,,0.046,30.842,1,21115,0,0
4,1,Reporting,28,Q12,SELECT,93.8766,True,,0.077,46.557,2,47564,0,0
4,1,Reporting,29,Q6,SELECT,62.0418,True,,0.043,31.082,1,21115,0,0
4,1,Reporting,30,Q12,SELECT,93.0715,True,,0.101,46.232,2,47564,0,0
4,1,Reporting,31,Q12,SELECT,92.5648,True,,0.077,45.8,2,47564,0,0
4,1,Reporting,32,Q12,SELECT,92.5077,True,,0.069,45.479,2,47564,0,0
4,1,Reporting,33,Q12,SELECT,92.3376,True,,0.091,45.521,2,47564,0,0
4,1,Reporting,34,Q1,SELECT,962.1333,True,,0.065,484.137,4,23553,0,0
