run,w_from,w_to,cross_phase,t_sr_us,t_sv_us,t_st_us,t_sa_us,t_sp_us,t_total_us
4,0,1,False,287.17,4.92,639.79,102.29,1136.08,2170.25
4,1,2,False,158.92,2.08,518.96,82.79,740.33,1503.08
4,2,3,False,148.38,1.75,469.33,64.58,654.46,1338.5
4,3,4,False,134.67,1.58,462.79,57.46,643.21,1299.71
4,4,5,False,130.04,1.54,459.17,54.71,583.0,1228.46
4,5,6,False,117.37,1.33,403.88,50.5,579.17,1152.25
4,6,7,False,116.54,1.33,409.0,50.0,576.75,1153.62
4,7,8,True,106.62,1.21,365.17,45.42,528.04,1046.46
4,8,9,False,107.58,1.33,371.04,47.33,524.88,1052.17
4,9,10,False,105.42,1.29,368.42,47.71,511.38,1034.21
4,10,11,False,98.58,1.17,302.79,34.92,391.92,829.37
4,11,12,False,99.25,1.17,342.42,46.08,480.17,969.08
4,12,13,False,102.87,1.08,358.79,42.04,487.58,992.37
4,13,14,False,102.0,1.37,331.46,43.21,454.29,932.33
4,14,15,False,95.21,1.37,320.25,46.33,453.08,916.25
4,15,16,True,93.79,1.17,321.13,43.38,449.25,908.71
4,16,17,False,95.79,1.04,314.63,38.21,437.83,887.5
4,17,18,False,95.08,0.96,311.67,37.46,433.0,878.17
4,18,19,False,88.62,1.08,303.29,39.25,431.54,863.79
4,19,20,False,89.17,1.08,305.79,40.58,432.29,868.92
4,20,21,False,85.5,1.0,293.38,39.29,418.71,837.87
4,21,22,False,85.37,0.96,292.79,36.17,417.79,833.08
4,22,23,False,84.21,1.0,288.67,34.29,413.0,821.17
4,23,24,True,80.96,0.96,281.21,37.58,395.25,795.96
4,24,25,False,92.79,0.87,281.58,36.75,417.29,829.29
4,25,26,False,82.21,1.04,279.5,37.25,397.25,797.25
4,26,27,False,80.71,0.96,280.33,34.96,394.71,791.67
4,27,28,False,78.83,1.0,271.42,32.62,385.83,769.71
4,28,29,False,80.0,0.92,272.25,30.25,380.92,764.33
4,29,30,False,79.63,0.92,265.54,28.75,371.83,746.67
4,30,31,False,77.25,0.83,264.04,30.0,371.0,743.12
