Method,Dims,Within_mean,Within_sd,Cross_mean,Cross_sd,Disc_ratio,p_value,n_within,n_cross
B0  S_V (volume-ratio),1/5,0.7826,0.1478,0.8169,0.1206,0.958,0.7635,140,15
B1  Cosine-QT,1/5,0.6784,0.2057,0.1438,0.1362,4.7193,<.0001,140,15
B2  Jaccard-Schema,1/5,0.8545,0.1939,0.5667,0.1737,1.508,<.0001,140,15
B3  HSM-2D,2/5,0.9169,0.0706,0.9183,0.0633,0.9985,0.4482,140,15
B4  HSM-3D,3/5,0.9361,0.0624,0.9382,0.0562,0.9977,0.4698,140,15
B5  HSM-4D (no S_P),4/5,0.9102,0.0555,0.8253,0.0441,1.1029,<.0001,140,15
B6  HSM-5D (proposed),5/5,0.8732,0.0479,0.7957,0.0347,1.0974,<.0001,140,15
