run,window,phase,n_total,n_select,n_update,n_insert,n_delete,avg_ms,total_ms,n_qtypes,avg_planning_ms,avg_shared_blk_hit
1,0,Reporting,21,21,0,0,0,320.1195,6722.5095,4,0.1041904761904762,30051.761904761905
1,1,Reporting,17,17,0,0,0,735.0592470588235,12496.0072,3,0.0868235294117647,24535.176470588234
1,2,Reporting,19,19,0,0,0,442.74374736842105,8412.1312,5,0.10352631578947369,34229.63157894737
1,3,Reporting,18,18,0,0,0,304.0239944444445,5472.4319000000005,5,0.10127777777777777,38015.61111111111
1,4,Reporting,20,20,0,0,0,250.77918,5015.5836,5,0.0916,27796.7
1,5,Reporting,23,23,0,0,0,412.88685652173916,9496.397700000001,5,0.12134782608695652,61995.391304347824
1,6,Reporting,18,18,0,0,0,212.15860555555554,3818.8549,4,0.07361111111111111,18517.277777777777
1,7,Reporting,20,20,0,0,0,168.25717,3365.1434,4,0.0895,33394.7
1,8,JoinHeavy,19,19,0,0,0,133.99454736842105,2545.8964,4,0.32152631578947366,186011.7894736842
1,9,JoinHeavy,14,14,0,0,0,92.21802857142858,1291.0524,3,0.2825714285714286,110193.85714285714
1,10,JoinHeavy,29,29,0,0,0,72.41464827586208,2100.0248,4,0.2948965517241379,111034.4827586207
1,11,JoinHeavy,29,29,0,0,0,72.34132758620689,2097.8985,4,0.3373103448275862,92998.79310344828
1,12,JoinHeavy,15,15,0,0,0,163.35861333333335,2450.3792000000003,5,0.3404,105017.26666666666
1,13,JoinHeavy,26,26,0,0,0,59.679580769230775,1551.6691,4,0.2746923076923077,83791.03846153847
1,14,JoinHeavy,14,14,0,0,0,72.26366428571428,1011.6913,3,0.37,91278.0
1,15,JoinHeavy,20,20,0,0,0,77.9485,1558.97,4,0.3347,85777.75
1,16,Procurement,15,13,0,2,0,198.49493333333334,2977.424,3,0.13426666666666667,33457.53333333333
1,17,Procurement,22,20,1,1,0,209.13191363636363,4600.9021,5,0.16890909090909093,27807.0
1,18,Procurement,15,13,2,0,0,255.28573999999998,3829.2861,5,0.21906666666666666,29377.2
1,19,Procurement,21,21,0,0,0,141.20059523809525,2965.2125,3,0.1665714285714286,23138.0
1,20,Procurement,26,10,1,15,0,119.6042923076923,3109.7116,5,0.08319230769230769,15694.384615384615
1,21,Procurement,31,22,2,7,0,211.43046129032257,6554.3443,6,0.14629032258064517,38594.6129032258
1,22,Procurement,25,23,2,0,0,315.24058,7881.0145,4,0.20996000000000004,37423.12
1,23,Procurement,19,19,0,0,0,276.59813684210525,5255.3646,3,0.22868421052631577,30352.526315789473
1,24,Customer,20,18,2,0,0,226.22988,4524.5976,5,0.22644999999999998,80647.35
1,25,Customer,25,19,6,0,0,297.82144800000003,7445.5362000000005,3,0.21652000000000002,39220.4
1,26,Customer,19,15,4,0,0,321.8571631578948,6115.2861,5,0.2305263157894737,44435.52631578947
1,27,Customer,14,7,7,0,0,62.396828571428564,873.5555999999999,4,0.1402857142857143,42498.642857142855
1,28,Customer,17,16,1,0,0,190.0617117647059,3231.0491,4,0.2584705882352941,75894.82352941176
1,29,Customer,23,20,3,0,0,198.77759999999998,4571.8848,5,0.22626086956521738,68421.60869565218
1,30,Customer,11,11,0,0,0,182.5877818181818,2008.4656,3,0.2688181818181818,66182.54545454546
1,31,Customer,17,15,2,0,0,240.4506294117647,4087.6607,4,0.24864705882352944,50421.35294117647
