run,w_from,w_to,phase_from,phase_to,cross_phase,n1,n2,S_R,S_V,S_T,S_A,S_P,HSM,hsm_no_sr,hsm_no_sv,hsm_no_st,hsm_no_sa,hsm_no_sp
1,0,1,Reporting,Reporting,False,21,17,1.0,0.9123,1.0,0.5735,0.7429,0.8457,0.8072,0.8291,0.8072,0.9138,0.8715
1,1,2,Reporting,Reporting,False,17,19,1.0,0.9528,1.0,0.4895,0.8381,0.8561,0.8201,0.8319,0.8201,0.9477,0.8606
1,2,3,Reporting,Reporting,False,19,18,1.0,0.9768,1.0,1.0,0.7333,0.942,0.9275,0.9333,0.9275,0.9275,0.9942
1,3,4,Reporting,Reporting,False,18,20,1.0,0.9553,1.0,1.0,0.7524,0.9415,0.9269,0.9381,0.9269,0.9269,0.9888
1,4,5,Reporting,Reporting,False,20,23,1.0,0.9411,1.0,0.7917,0.7048,0.8875,0.8594,0.8741,0.8594,0.9115,0.9332
1,5,6,Reporting,Reporting,False,23,18,1.0,0.899,1.0,0.6562,0.7429,0.8596,0.8245,0.8498,0.8245,0.9105,0.8888
1,6,7,Reporting,Reporting,False,18,20,1.0,0.9553,1.0,1.0,0.7048,0.932,0.915,0.9262,0.915,0.915,0.9888
1,7,8,Reporting,JoinHeavy,True,20,19,1.0,0.978,1.0,0.2298,0.7714,0.7958,0.7448,0.7503,0.7448,0.9373,0.8019
1,8,9,JoinHeavy,JoinHeavy,False,19,14,1.0,0.8758,1.0,0.8571,0.7714,0.9009,0.8761,0.9071,0.8761,0.9118,0.9332
1,9,10,JoinHeavy,JoinHeavy,False,14,29,1.0,0.7289,1.0,0.8571,0.781,0.8734,0.8417,0.9095,0.8417,0.8775,0.8965
1,10,11,JoinHeavy,JoinHeavy,False,29,29,1.0,1.0,1.0,1.0,0.8286,0.9657,0.9571,0.9571,0.9571,0.9571,1.0
1,11,12,JoinHeavy,JoinHeavy,False,29,15,1.0,0.751,1.0,0.9118,0.8381,0.9002,0.8752,0.9375,0.8752,0.8973,0.9157
1,12,13,JoinHeavy,JoinHeavy,False,15,26,1.0,0.7875,1.0,0.7786,0.8286,0.8789,0.8487,0.9018,0.8487,0.904,0.8915
1,13,14,JoinHeavy,JoinHeavy,False,26,14,1.0,0.7643,1.0,0.7815,0.819,0.873,0.8412,0.9001,0.8412,0.8958,0.8864
1,14,15,JoinHeavy,JoinHeavy,False,14,20,1.0,0.8565,1.0,0.7619,0.7619,0.8761,0.8451,0.881,0.8451,0.9046,0.9046
1,15,16,JoinHeavy,Procurement,True,20,15,0.8667,0.8826,0.9884,0.4864,0.781,0.801,0.7846,0.7806,0.7541,0.8796,0.806
1,16,17,Procurement,Procurement,False,15,22,0.9576,0.8468,0.9935,0.8109,0.6571,0.8532,0.8271,0.8548,0.8181,0.8637,0.9022
1,17,18,Procurement,Procurement,False,22,15,0.9576,0.8468,0.9935,0.9444,0.6857,0.8856,0.8676,0.8953,0.8586,0.8709,0.9356
1,18,19,Procurement,Procurement,False,15,21,0.8667,0.864,0.9884,0.9118,0.6952,0.8652,0.8649,0.8655,0.8344,0.8536,0.9077
1,19,20,Procurement,Procurement,False,21,26,0.3846,0.9114,0.5538,0.9118,0.7238,0.6971,0.7752,0.6435,0.7329,0.6434,0.6904
1,20,21,Procurement,Procurement,False,26,31,0.6749,0.9265,0.7815,0.8636,0.5714,0.7636,0.7858,0.7229,0.7591,0.7386,0.8116
1,21,22,Procurement,Procurement,False,31,25,0.7897,0.9108,0.9533,0.8571,0.6381,0.8298,0.8398,0.8095,0.7989,0.823,0.8777
1,22,23,Procurement,Procurement,False,25,19,0.92,0.8876,0.9962,0.9667,0.6857,0.8913,0.8841,0.8922,0.865,0.8724,0.9426
1,23,24,Procurement,Customer,True,19,20,0.9,0.978,0.9939,0.5745,0.7524,0.8398,0.8247,0.8052,0.8012,0.9061,0.8616
1,24,25,Customer,Customer,False,20,25,0.86,0.9076,0.981,0.7421,0.7905,0.8562,0.8553,0.8434,0.8251,0.8848,0.8727
1,25,26,Customer,Customer,False,25,19,0.9705,0.8876,0.999,0.7421,0.7238,0.8646,0.8381,0.8589,0.831,0.8952,0.8998
1,26,27,Customer,Customer,False,19,14,0.7105,0.8758,0.8654,0.8211,0.6571,0.786,0.8049,0.7635,0.7661,0.7772,0.8182
1,27,28,Customer,Customer,False,14,17,0.5588,0.9191,0.7498,1.0,0.7524,0.796,0.8553,0.7653,0.8076,0.745,0.8069
1,28,29,Customer,Customer,False,17,23,0.9284,0.877,0.9963,0.9706,0.7905,0.9125,0.9086,0.9214,0.8916,0.898,0.9431
1,29,30,Customer,Customer,False,23,11,0.8696,0.7259,0.9889,0.9412,0.819,0.8689,0.8688,0.9047,0.8389,0.8509,0.8814
1,30,31,Customer,Customer,False,11,17,0.8824,0.8277,0.9912,0.9688,0.7048,0.875,0.8731,0.8868,0.8459,0.8515,0.9175
