run,w_from,w_to,phase_from,phase_to,cross_phase,n1,n2,S_R,S_V,S_T,S_A,S_P,HSM,hsm_no_sr,hsm_no_sv,hsm_no_st,hsm_no_sa,hsm_no_sp
5,0,1,Reporting,Reporting,False,12,21,1.0,0.7842,1.0,0.4921,0.6857,0.7924,0.7405,0.7944,0.7405,0.8675,0.8191
5,1,2,Reporting,Reporting,False,21,19,1.0,0.9575,1.0,0.5476,0.5524,0.8115,0.7644,0.775,0.7644,0.8775,0.8763
5,2,3,Reporting,Reporting,False,19,18,1.0,0.9768,1.0,0.4895,0.7333,0.8399,0.7999,0.8057,0.7999,0.9275,0.8666
5,3,4,Reporting,Reporting,False,18,15,1.0,0.9239,1.0,1.0,0.6476,0.9143,0.8929,0.9119,0.8929,0.8929,0.981
5,4,5,Reporting,Reporting,False,15,24,1.0,0.8154,1.0,0.5754,0.6476,0.8077,0.7596,0.8058,0.7596,0.8657,0.8477
5,5,6,Reporting,Reporting,False,24,16,1.0,0.8385,1.0,0.4484,0.7143,0.8002,0.7503,0.7907,0.7503,0.8882,0.8217
5,6,7,Reporting,Reporting,False,16,13,1.0,0.9138,1.0,0.7564,0.6952,0.8731,0.8414,0.8629,0.8414,0.9023,0.9175
5,7,8,Reporting,JoinHeavy,True,13,19,1.0,0.8481,1.0,0.2298,0.7619,0.768,0.7099,0.7479,0.7099,0.9025,0.7695
5,8,9,JoinHeavy,JoinHeavy,False,19,21,1.0,0.9575,1.0,1.0,0.7048,0.9324,0.9156,0.9262,0.9156,0.9156,0.9894
5,9,10,JoinHeavy,JoinHeavy,False,21,21,1.0,1.0,1.0,1.0,0.6952,0.939,0.9238,0.9238,0.9238,0.9238,1.0
5,10,11,JoinHeavy,JoinHeavy,False,21,23,0.913,0.9613,0.9955,0.7333,0.6952,0.8597,0.8463,0.8343,0.8257,0.8913,0.9008
5,11,12,JoinHeavy,JoinHeavy,False,23,23,0.9565,1.0,0.9988,0.7667,0.8095,0.9063,0.8937,0.8829,0.8832,0.9412,0.9305
5,12,13,JoinHeavy,JoinHeavy,False,23,22,0.9565,0.9809,0.999,0.7227,0.6381,0.8594,0.8352,0.8291,0.8245,0.8936,0.9148
5,13,14,JoinHeavy,JoinHeavy,False,22,20,1.0,0.9595,1.0,0.7411,0.7333,0.8868,0.8585,0.8686,0.8585,0.9232,0.9251
5,14,15,JoinHeavy,JoinHeavy,False,20,12,1.0,0.801,1.0,1.0,0.7048,0.9012,0.8764,0.9262,0.8764,0.8764,0.9503
5,15,16,JoinHeavy,Procurement,True,12,19,0.8421,0.8191,0.9904,0.4856,0.7714,0.7817,0.7666,0.7724,0.7295,0.8557,0.7843
5,16,17,Procurement,Procurement,False,19,20,0.9421,0.978,0.998,0.881,0.5714,0.8741,0.8571,0.8481,0.8431,0.8724,0.9498
5,17,18,Procurement,Procurement,False,20,25,0.9,0.9076,0.991,1.0,0.5238,0.8645,0.8556,0.8537,0.8329,0.8306,0.9497
5,18,19,Procurement,Procurement,False,25,19,0.9895,0.8876,0.9374,0.9118,0.7143,0.8881,0.8628,0.8882,0.8758,0.8822,0.9316
5,19,20,Procurement,Procurement,False,19,18,0.8216,0.9768,0.9099,0.9412,0.7143,0.8728,0.8855,0.8467,0.8635,0.8557,0.9124
5,20,21,Procurement,Procurement,False,18,20,0.6611,0.9553,0.9055,0.9412,0.6571,0.824,0.8648,0.7912,0.8037,0.7948,0.8658
5,21,22,Procurement,Procurement,False,20,24,0.95,0.9239,0.9986,0.9667,0.5905,0.8859,0.8699,0.8764,0.8578,0.8657,0.9598
5,22,23,Procurement,Procurement,False,24,20,0.95,0.9239,0.9986,0.8333,0.7238,0.8859,0.8699,0.8764,0.8578,0.8991,0.9265
5,23,24,Procurement,Customer,True,20,14,0.95,0.8565,0.9986,0.5357,0.6,0.7882,0.7477,0.7711,0.7356,0.8513,0.8352
5,24,25,Customer,Customer,False,14,24,0.9583,0.7913,0.9991,0.875,0.7048,0.8657,0.8425,0.8843,0.8323,0.8634,0.9059
5,25,26,Customer,Customer,False,24,12,0.625,0.7401,0.8382,0.6562,0.7238,0.7167,0.7396,0.7108,0.6863,0.7318,0.7149
5,26,27,Customer,Customer,False,12,24,0.7917,0.7401,0.9349,0.75,0.7238,0.7881,0.7872,0.8001,0.7514,0.7976,0.8041
5,27,28,Customer,Customer,False,24,18,0.7917,0.8826,0.9671,0.9688,0.8857,0.8992,0.926,0.9033,0.8822,0.8818,0.9025
5,28,29,Customer,Customer,False,18,17,1.0,0.9755,1.0,1.0,0.7524,0.9456,0.932,0.9381,0.932,0.932,0.9939
5,29,30,Customer,Customer,False,17,23,0.8261,0.877,0.9891,0.9412,0.7905,0.8848,0.8994,0.8867,0.8587,0.8707,0.9083
5,30,31,Customer,Customer,False,23,26,0.903,0.9481,0.996,0.5774,0.6571,0.8163,0.7947,0.7834,0.7714,0.8761,0.8561
