run,w_from,w_to,cross_phase,t_sr_us,t_sv_us,t_st_us,t_sa_us,t_sp_us,t_total_us
5,0,1,False,286.25,4.79,637.71,84.87,1191.42,2205.04
5,1,2,False,151.42,1.92,506.92,65.54,739.42,1465.21
5,2,3,False,146.38,1.79,494.5,59.58,661.21,1363.46
5,3,4,False,131.92,1.62,451.88,50.58,643.67,1279.67
5,4,5,False,129.83,1.46,443.71,53.92,631.63,1260.54
5,5,6,False,120.33,1.54,404.33,50.04,571.08,1147.33
5,6,7,False,116.5,1.42,399.58,41.13,609.21,1167.83
5,7,8,True,106.46,1.33,364.92,43.13,514.25,1030.08
5,8,9,False,194.71,2.08,441.54,57.38,663.0,1358.71
5,9,10,False,113.29,1.5,369.83,49.88,531.58,1066.08
5,10,11,False,106.04,1.25,341.33,46.88,658.42,1153.92
5,11,12,False,111.29,1.42,356.29,49.62,518.04,1036.67
5,12,13,False,104.04,1.21,343.92,48.62,487.79,985.58
5,13,14,False,96.79,1.21,316.92,42.0,454.33,911.25
5,14,15,False,94.88,1.21,319.0,37.67,447.67,900.42
5,15,16,True,94.46,1.04,326.83,39.12,441.83,903.29
5,16,17,False,97.29,0.96,302.25,39.17,429.92,869.58
5,17,18,False,91.83,1.04,303.29,40.04,429.62,865.83
5,18,19,False,90.63,1.13,303.21,39.12,424.5,858.58
5,19,20,False,88.17,0.96,304.12,37.62,416.12,847.0
5,20,21,False,86.87,0.96,288.42,34.67,404.17,815.08
5,21,22,False,86.17,1.08,291.79,38.04,409.67,826.75
5,22,23,False,84.13,0.96,296.54,32.67,352.58,766.88
5,23,24,True,78.87,0.96,253.58,36.12,340.25,709.79
5,24,25,False,84.96,0.96,280.33,34.96,391.54,792.75
5,25,26,False,84.33,1.0,283.29,34.96,410.42,814.0
5,26,27,False,80.58,1.08,303.79,40.37,394.67,820.5
5,27,28,False,79.96,0.96,271.79,35.17,382.25,770.13
5,28,29,False,77.88,1.08,273.33,32.0,369.17,753.46
5,29,30,False,78.17,0.96,268.46,34.0,370.42,752.0
5,30,31,False,82.0,1.21,262.75,37.29,372.75,756.0
