run,window,phase,n_total,n_select,n_update,n_insert,n_delete,avg_ms,total_ms,n_qtypes,avg_planning_ms,avg_shared_blk_hit
5,0,Reporting,12,12,0,0,0,196.32979166666667,2355.9575,4,0.09150000000000001,16704.833333333332
5,1,Reporting,21,21,0,0,0,51.91688571428571,1090.2546,4,0.151,25272.761904761905
5,2,Reporting,19,19,0,0,0,221.56569473684212,4209.7482,4,0.10247368421052631,33816.63157894737
5,3,Reporting,18,18,0,0,0,98.00390555555556,1764.0703,4,0.07961111111111112,21994.055555555555
5,4,Reporting,15,15,0,0,0,339.4734933333333,5092.1024,4,0.08426666666666667,17351.933333333334
5,5,Reporting,24,24,0,0,0,356.4860208333334,8555.6645,5,0.112,36160.041666666664
5,6,Reporting,16,16,0,0,0,433.85639375,6941.7023,3,0.0973125,33600.6875
5,7,Reporting,13,13,0,0,0,124.97292307692307,1624.648,4,0.09261538461538461,23954.846153846152
5,8,JoinHeavy,19,19,0,0,0,137.82473684210527,2618.67,4,0.30326315789473685,182368.73684210525
5,9,JoinHeavy,21,21,0,0,0,86.91851428571428,1825.2888,4,0.3486666666666667,103177.85714285714
5,10,JoinHeavy,21,21,0,0,0,94.54159047619048,1985.3734,4,0.3152857142857143,110032.14285714286
5,11,JoinHeavy,23,21,2,0,0,89.7806304347826,2064.9545,3,0.20869565217391303,70720.69565217392
5,12,JoinHeavy,23,22,1,0,0,86.6016652173913,1991.8383,5,0.32865217391304347,109744.30434782608
5,13,JoinHeavy,22,22,0,0,0,74.79396818181819,1645.4673,4,0.24418181818181817,64965.0
5,14,JoinHeavy,20,20,0,0,0,87.16312500000001,1743.2625,4,0.2599,56019.15
5,15,JoinHeavy,12,12,0,0,0,105.00021666666667,1260.0026,4,0.32175,115607.0
5,16,Procurement,19,16,1,2,0,209.45903684210526,3979.7217,6,0.18389473684210528,26248.105263157893
5,17,Procurement,20,18,0,2,0,107.09880000000001,2141.976,4,0.14965,17705.1
5,18,Procurement,25,20,0,5,0,189.66186000000002,4741.5465,4,0.11128,30873.68
5,19,Procurement,19,15,4,0,0,163.28678947368422,3102.449,4,0.14021052631578948,24571.263157894737
5,20,Procurement,18,11,2,5,0,133.00034444444444,2394.0062,5,0.12000000000000001,18447.222222222223
5,21,Procurement,20,19,1,0,0,360.387265,7207.7453000000005,4,0.24895,37522.1
5,22,Procurement,24,24,0,0,0,254.6078375,6110.5881,3,0.21808333333333332,30519.75
5,23,Procurement,20,19,0,1,0,272.68107,5453.6214,5,0.21590000000000004,44895.2
5,24,Customer,14,14,0,0,0,326.13895,4565.9453,3,0.30257142857142855,78793.64285714286
5,25,Customer,24,23,1,0,0,360.2491916666667,8645.9806,3,0.2771666666666667,49531.916666666664
5,26,Customer,12,7,5,0,0,155.279125,1863.3495,3,0.16325,55528.166666666664
5,27,Customer,24,19,5,0,0,122.54641666666667,2941.114,4,0.20145833333333332,66737.58333333333
5,28,Customer,18,18,0,0,0,339.9936222222222,6119.8852,3,0.2861666666666667,76925.55555555556
5,29,Customer,17,17,0,0,0,164.22321764705882,2791.7947,3,0.2728235294117647,57002.05882352941
5,30,Customer,23,19,2,2,0,67.62557826086957,1555.3883,5,0.21382608695652175,66620.91304347826
5,31,Customer,26,24,1,1,0,165.2058,4295.3508,6,0.26196153846153847,46563.153846153844
