run,window,phase,seq,query,op_type,exec_ms,ok,err,planning_ms,exec_ms_pg,rows_returned,shared_blks_hit,shared_blks_read,temp_blks_written
5,0,Reporting,0,Q14,SELECT,31.3717,True,,0.374,19.217,1,9213,16,0
5,0,Reporting,1,Q6,SELECT,68.7588,True,,0.027,35.377,1,20951,164,0
5,0,Reporting,2,Q1,SELECT,1007.3062,True,,0.079,514.969,4,22688,868,0
5,0,Reporting,3,Q14,SELECT,21.6248,True,,0.08,11.841,1,9229,0,0
5,0,Reporting,4,Q12,SELECT,95.4982,True,,0.183,47.134,2,47564,0,0
5,0,Reporting,5,Q14,SELECT,22.8037,True,,0.065,12.834,1,9229,0,0
5,0,Reporting,6,Q6,SELECT,60.1022,True,,0.035,30.223,1,21115,0,0
5,0,Reporting,7,Q14,SELECT,21.84,True,,0.057,12.013,1,9229,0,0
5,0,Reporting,8,Q14,SELECT,18.4154,True,,0.04,9.515,1,9229,0,0
5,0,Reporting,9,Q1,SELECT,966.2549,True,,0.039,493.363,4,23553,0,0
5,0,Reporting,10,Q14,SELECT,22.443,True,,0.078,12.034,1,9229,0,0
5,0,Reporting,11,Q14,SELECT,19.5386,True,,0.041,10.266,1,9229,0,0
5,1,Reporting,12,Q14,SELECT,28.9915,True,,0.316,18.131,1,9229,0,0
5,1,Reporting,13,Q12,SELECT,95.9141,True,,0.178,47.531,2,47564,0,0
5,1,Reporting,14,Q5,SELECT,42.4704,True,,0.765,23.027,5,43128,1934,0
5,1,Reporting,15,Q6,SELECT,64.5876,True,,0.054,32.213,1,21115,0,0
5,1,Reporting,16,Q6,SELECT,61.817,True,,0.034,30.299,1,21115,0,0
5,1,Reporting,17,Q14,SELECT,21.9928,True,,0.08,12.17,1,9229,0,0
5,1,Reporting,18,Q6,SELECT,61.648,True,,0.03,30.604,1,21115,0,0
5,1,Reporting,19,Q5,SELECT,36.2778,True,,0.382,18.199,5,45059,0,0
5,1,Reporting,20,Q6,SELECT,63.244,True,,0.033,31.549,1,21115,0,0
5,1,Reporting,21,Q6,SELECT,61.7641,True,,0.04,30.225,1,21115,0,0
5,1,Reporting,22,Q14,SELECT,21.3635,True,,0.077,11.727,1,9229,0,0
5,1,Reporting,23,Q5,SELECT,36.4541,True,,0.364,18.109,5,45059,0,0
5,1,Reporting,24,Q6,SELECT,62.5775,True,,0.037,31.537,1,21115,0,0
5,1,Reporting,25,Q6,SELECT,63.1644,True,,0.052,31.611,1,21115,0,0
5,1,Reporting,26,Q12,SELECT,94.5478,True,,0.091,46.769,2,47564,0,0
5,1,Reporting,27,Q6,SELECT,63.876,True,,0.045,32.442,1,21115,0,0
5,1,Reporting,28,Q6,SELECT,63.7544,True,,0.038,31.603,1,21115,0,0
5,1,Reporting,29,Q14,SELECT,22.0346,True,,0.064,11.931,1,9229,0,0
5,1,Reporting,30,Q6,SELECT,63.582,True,,0.032,32.059,1,21115,0,0
5,1,Reporting,31,Q5,SELECT,37.247,True,,0.392,18.429,5,45059,0,0
5,1,Reporting,32,Q14,SELECT,22.946,True,,0.067,12.794,1,9229,0,0
5,2,Reporting,33,Q6,SELECT,73.1925,True,,0.188,39.353,1,21115,0,0
5,2,Reporting,34,Q6,SELECT,63.2903,True,,0.053,31.797,1,21115,0,0
5,2,Reporting,35,Q1,SELECT,970.9658,True,,0.123,493.318,4,23556,0,0
5,2,Reporting,36,Q12,SELECT,94.0496,True,,0.258,46.603,2,47564,0,0
5,2,Reporting,37,Q12,SELECT,92.8685,True,,0.088,45.85,2,47564,0,0
5,2,Reporting,38,Q6,SELECT,61.7681,True,,0.045,31.192,1,21115,0,0
5,2,Reporting,39,Q6,SELECT,61.353,True,,0.049,30.401,1,21115,0,0
5,2,Reporting,40,Q6,SELECT,60.4923,True,,0.038,29.467,1,21115,0,0
5,2,Reporting,41,Q12,SELECT,93.2415,True,,0.102,46.259,2,47564,0,0
5,2,Reporting,42,Q1,SELECT,984.9218,True,,0.063,497.431,4,23553,0,0
5,2,Reporting,43,Q12,SELECT,93.3222,True,,0.076,46.432,2,47564,0,0
5,2,Reporting,44,Q6,SELECT,61.9913,True,,0.043,31.248,1,21115,0,0
5,2,Reporting,45,Q6,SELECT,70.9509,True,,0.036,36.527,1,21115,0,0
5,2,Reporting,46,Q12,SELECT,93.8058,True,,0.088,46.687,2,47564,0,0
5,2,Reporting,47,Q1,SELECT,1015.162,True,,0.068,520.093,4,23553,0,0
5,2,Reporting,48,Q12,SELECT,94.3203,True,,0.09,46.353,2,47564,0,0
5,2,Reporting,49,Q6,SELECT,62.1717,True,,0.043,31.21,1,21115,0,0
5,2,Reporting,50,Q10,SELECT,98.4559,True,,0.445,49.582,20,96435,10,0
5,2,Reporting,51,Q6,SELECT,63.4247,True,,0.051,31.908,1,21115,0,0
5,3,Reporting,52,Q12,SELECT,98.2089,True,,0.351,48.109,2,47564,0,0
5,3,Reporting,53,Q6,SELECT,68.8157,True,,0.07,36.039,1,21115,0,0
5,3,Reporting,54,Q6,SELECT,63.2218,True,,0.05,31.502,1,21115,0,0
5,3,Reporting,55,Q12,SELECT,94.5526,True,,0.096,47.082,2,47564,0,0
5,3,Reporting,56,Q14,SELECT,23.8586,True,,0.145,13.701,1,9229,0,0
5,3,Reporting,57,Q14,SELECT,18.8078,True,,0.037,9.74,1,9229,0,0
5,3,Reporting,58,Q14,SELECT,18.3206,True,,0.037,9.386,1,9229,0,0
5,3,Reporting,59,Q14,SELECT,20.4081,True,,0.034,9.763,1,9229,0,0
5,3,Reporting,60,Q14,SELECT,20.9619,True,,0.052,11.232,1,9229,0,0
5,3,Reporting,61,Q14,SELECT,18.7884,True,,0.032,9.693,1,9229,0,0
5,3,Reporting,62,Q12,SELECT,93.4238,True,,0.054,47.026,2,47564,0,0
5,3,Reporting,63,Q12,SELECT,93.1186,True,,0.11,45.621,2,47564,0,0
5,3,Reporting,64,Q1,SELECT,958.866,True,,0.078,492.62,4,23553,0,0
5,3,Reporting,65,Q12,SELECT,92.5726,True,,0.11,45.84,2,47564,0,0
5,3,Reporting,66,Q14,SELECT,22.256,True,,0.066,12.537,1,9229,0,0
5,3,Reporting,67,Q14,SELECT,18.5782,True,,0.041,9.592,1,9229,0,0
