run,w_from,w_to,phase_from,phase_to,cross_phase,n1,n2,S_R,S_V,S_T,S_A,S_P,HSM,hsm_no_sr,hsm_no_sv,hsm_no_st,hsm_no_sa,hsm_no_sp
2,0,1,Reporting,Reporting,False,28,20,1.0,0.864,1.0,0.6421,0.5905,0.8193,0.7742,0.8081,0.7742,0.8636,0.8765
2,1,2,Reporting,Reporting,False,20,20,1.0,1.0,1.0,0.6667,0.8381,0.901,0.8762,0.8762,0.8762,0.9595,0.9167
2,2,3,Reporting,Reporting,False,20,35,1.0,0.7842,1.0,0.4921,0.7714,0.8095,0.7619,0.8159,0.7619,0.8889,0.8191
2,3,4,Reporting,Reporting,False,35,14,1.0,0.6717,1.0,1.0,0.7333,0.881,0.8513,0.9333,0.8513,0.8513,0.9179
2,4,5,Reporting,Reporting,False,14,20,1.0,0.8565,1.0,1.0,0.7429,0.9199,0.8998,0.9357,0.8998,0.8998,0.9641
2,5,6,Reporting,Reporting,False,20,18,1.0,0.9553,1.0,1.0,0.7619,0.9434,0.9293,0.9405,0.9293,0.9293,0.9888
2,6,7,Reporting,Reporting,False,18,24,1.0,0.8826,1.0,0.7812,0.8762,0.908,0.885,0.9144,0.885,0.9397,0.916
2,7,8,Reporting,JoinHeavy,True,24,20,1.0,0.9239,1.0,0.3665,0.4381,0.7457,0.6821,0.7011,0.6821,0.8405,0.8226
2,8,9,JoinHeavy,JoinHeavy,False,20,20,1.0,1.0,1.0,0.9118,0.6571,0.9138,0.8922,0.8922,0.8922,0.9143,0.9779
2,9,10,JoinHeavy,JoinHeavy,False,20,17,1.0,0.9319,1.0,0.8421,0.781,0.911,0.8887,0.9058,0.8887,0.9282,0.9435
2,10,11,JoinHeavy,JoinHeavy,False,17,25,1.0,0.8458,1.0,0.6786,0.7143,0.8477,0.8097,0.8482,0.8097,0.89,0.8811
2,11,12,JoinHeavy,JoinHeavy,False,25,30,1.0,0.9239,1.0,1.0,0.9238,0.9695,0.9619,0.981,0.9619,0.9619,0.981
2,12,13,JoinHeavy,JoinHeavy,False,30,16,1.0,0.7611,1.0,0.7063,0.4762,0.7887,0.7359,0.7956,0.7359,0.8093,0.8669
2,13,14,JoinHeavy,JoinHeavy,False,16,22,1.0,0.8708,1.0,0.6917,0.7905,0.8706,0.8383,0.8706,0.8383,0.9153,0.8906
2,14,15,JoinHeavy,JoinHeavy,False,22,23,1.0,0.9809,1.0,0.7381,0.8095,0.9057,0.8821,0.8869,0.8821,0.9476,0.9297
2,15,16,JoinHeavy,Procurement,True,23,14,1.0,0.8061,1.0,0.503,0.8952,0.8409,0.8011,0.8496,0.8011,0.9253,0.8273
2,16,17,Procurement,Procurement,False,14,25,0.76,0.7774,0.9658,0.9118,0.7333,0.8297,0.8471,0.8427,0.7956,0.8091,0.8537
2,17,18,Procurement,Procurement,False,25,22,0.8964,0.946,0.9619,0.9412,0.7905,0.9072,0.9099,0.8975,0.8935,0.8987,0.9364
2,18,19,Procurement,Procurement,False,22,18,0.9192,0.9165,0.9952,1.0,0.8,0.9262,0.9279,0.9286,0.9089,0.9077,0.9577
2,19,20,Procurement,Procurement,False,18,23,0.9444,0.899,0.9983,0.8684,0.8,0.902,0.8914,0.9028,0.878,0.9104,0.9275
2,20,21,Procurement,Procurement,False,23,21,0.9524,0.9613,0.9988,0.6917,0.7429,0.8694,0.8487,0.8464,0.8371,0.9138,0.901
2,21,22,Procurement,Procurement,False,21,21,0.9524,1.0,0.9985,0.7952,0.8381,0.9168,0.908,0.8961,0.8964,0.9472,0.9365
2,22,23,Procurement,Procurement,False,21,21,0.6667,1.0,0.8584,1.0,0.7714,0.8593,0.9075,0.8241,0.8595,0.8241,0.8813
2,23,24,Procurement,Customer,True,21,23,0.5714,0.9613,0.8,0.5745,0.7238,0.7262,0.7649,0.6674,0.7078,0.7641,0.7268
2,24,25,Customer,Customer,False,23,19,0.7895,0.9204,0.9662,0.7947,0.6762,0.8294,0.8394,0.8067,0.7952,0.8381,0.8677
2,25,26,Customer,Customer,False,19,16,0.977,0.9281,0.9718,0.8,0.6381,0.863,0.8345,0.8467,0.8358,0.8787,0.9192
2,26,27,Customer,Customer,False,16,22,0.8693,0.8708,0.9508,0.825,0.7048,0.8441,0.8378,0.8375,0.8175,0.8489,0.879
2,27,28,Customer,Customer,False,22,15,0.6818,0.8468,0.9267,0.9412,0.7619,0.8317,0.8691,0.8279,0.8079,0.8043,0.8491
2,28,29,Customer,Customer,False,15,19,1.0,0.9024,1.0,1.0,0.7143,0.9233,0.9042,0.9286,0.9042,0.9042,0.9756
2,29,30,Customer,Customer,False,19,23,1.0,0.9204,1.0,0.7281,0.7143,0.8725,0.8407,0.8606,0.8407,0.9087,0.9121
2,30,31,Customer,Customer,False,23,27,0.963,0.9327,0.9993,0.7083,0.7238,0.8654,0.841,0.8486,0.832,0.9047,0.9008
