run,window,phase,seq,query,op_type,exec_ms,ok,err,planning_ms,exec_ms_pg,rows_returned,shared_blks_hit,shared_blks_read,temp_blks_written
2,0,Reporting,0,Q14,SELECT,29.808,True,,0.481,18.336,1,9213,16,0
2,0,Reporting,1,Q14,SELECT,22.1163,True,,0.038,10.879,1,9229,0,0
2,0,Reporting,2,Q14,SELECT,20.53,True,,0.041,10.267,1,9229,0,0
2,0,Reporting,3,Q6,SELECT,64.8579,True,,0.038,33.452,1,20951,164,0
2,0,Reporting,4,Q1,SELECT,959.834,True,,0.075,496.342,4,22688,868,0
2,0,Reporting,5,Q12,SELECT,96.3221,True,,0.258,47.977,2,47564,0,0
2,0,Reporting,6,Q14,SELECT,22.713,True,,0.063,12.693,1,9229,0,0
2,0,Reporting,7,Q6,SELECT,61.7482,True,,0.035,30.261,1,21115,0,0
2,0,Reporting,8,Q14,SELECT,22.8795,True,,0.104,12.321,1,9229,0,0
2,0,Reporting,9,Q1,SELECT,961.9338,True,,0.037,487.252,4,23553,0,0
2,0,Reporting,10,Q14,SELECT,21.2455,True,,0.078,11.5,1,9229,0,0
2,0,Reporting,11,Q12,SELECT,93.5353,True,,0.062,46.188,2,47564,0,0
2,0,Reporting,12,Q6,SELECT,61.112,True,,0.044,30.946,1,21115,0,0
2,0,Reporting,13,Q1,SELECT,963.2705,True,,0.053,488.924,4,23553,0,0
2,0,Reporting,14,Q1,SELECT,955.4522,True,,0.065,487.18,4,23553,0,0
2,0,Reporting,15,Q14,SELECT,22.3762,True,,0.068,11.821,1,9229,0,0
2,0,Reporting,16,Q14,SELECT,19.1258,True,,0.048,9.827,1,9229,0,0
2,0,Reporting,17,Q14,SELECT,18.7847,True,,0.037,9.635,1,9229,0,0
2,0,Reporting,18,Q14,SELECT,19.0148,True,,0.031,9.647,1,9229,0,0
2,0,Reporting,19,Q14,SELECT,19.6172,True,,0.046,10.058,1,9229,0,0
2,0,Reporting,20,Q12,SELECT,93.5264,True,,0.055,46.39,2,47564,0,0
2,0,Reporting,21,Q12,SELECT,93.4526,True,,0.073,46.501,2,47564,0,0
2,0,Reporting,22,Q14,SELECT,22.2026,True,,0.055,12.242,1,9229,0,0
2,0,Reporting,23,Q12,SELECT,92.8578,True,,0.058,46.043,2,47564,0,0
2,0,Reporting,24,Q14,SELECT,22.3775,True,,0.059,12.31,1,9229,0,0
2,0,Reporting,25,Q12,SELECT,92.8289,True,,0.051,45.997,2,47564,0,0
2,0,Reporting,26,Q14,SELECT,21.8052,True,,0.056,11.968,1,9229,0,0
2,0,Reporting,27,Q14,SELECT,19.9966,True,,0.037,10.093,1,9229,0,0
2,1,Reporting,28,Q1,SELECT,1005.8131,True,,0.239,538.928,4,23556,0,0
2,1,Reporting,29,Q6,SELECT,59.6784,True,,0.05,29.745,1,21115,0,0
2,1,Reporting,30,Q1,SELECT,946.5192,True,,0.071,477.665,4,23553,0,0
2,1,Reporting,31,Q12,SELECT,95.0811,True,,0.281,47.26,2,47564,0,0
