run,w_from,w_to,cross_phase,t_sr_us,t_sv_us,t_st_us,t_sa_us,t_sp_us,t_total_us
2,0,1,False,272.63,4.71,547.96,96.79,1080.96,2003.04
2,1,2,False,159.29,2.17,508.21,68.62,746.08,1484.37
2,2,3,False,133.04,1.83,441.5,67.71,644.08,1288.17
2,3,4,False,131.42,1.75,446.88,61.87,646.08,1288.0
2,4,5,False,118.21,1.63,392.62,44.58,565.12,1122.17
2,5,6,False,121.71,1.62,394.17,47.79,569.75,1135.04
2,6,7,False,119.71,1.67,393.83,51.5,579.17,1145.88
2,7,8,True,106.92,1.38,364.67,50.96,520.33,1044.25
2,8,9,False,107.42,1.5,360.08,56.92,511.42,1037.33
2,9,10,False,108.54,1.38,366.5,46.92,513.58,1036.92
2,10,11,False,102.71,1.5,335.33,47.67,481.17,968.38
2,11,12,False,101.17,1.29,338.71,53.75,485.37,980.29
2,12,13,False,110.04,1.5,367.38,47.25,491.42,1017.58
2,13,14,False,94.37,1.25,318.54,40.71,444.75,899.63
2,14,15,False,92.37,1.21,316.58,46.37,453.42,909.96
2,15,16,True,95.08,1.42,314.17,42.04,446.5,899.21
2,16,17,False,93.33,1.29,298.12,39.13,425.12,857.0
2,17,18,False,93.25,1.04,295.67,40.0,425.5,855.46
2,18,19,False,89.92,1.29,315.83,37.42,446.5,890.96
2,19,20,False,89.5,1.21,300.83,38.54,404.42,834.5
2,20,21,False,84.25,1.08,318.96,37.12,408.83,850.25
2,21,22,False,83.79,1.13,286.42,36.04,405.54,812.92
2,22,23,False,86.54,1.17,282.42,36.0,402.42,808.54
2,23,24,True,80.46,1.08,278.33,36.46,389.12,785.46
2,24,25,False,79.92,1.08,279.67,36.5,398.79,795.96
2,25,26,False,83.71,1.0,293.71,33.21,388.33,799.96
2,26,27,False,79.83,1.17,270.67,32.92,379.79,764.37
2,27,28,False,83.12,1.08,272.42,32.5,381.33,770.46
2,28,29,False,77.58,0.87,272.38,31.79,377.54,760.17
2,29,30,False,77.88,1.0,266.67,34.75,373.96,754.25
2,30,31,False,84.79,0.92,264.33,38.17,375.29,763.5
